CNTSTUID,GRADE,AGE,ISCEDL,PAREDINT,HISEI,IMMIG,REPEAT,ESCS,UNDREM,METASUM,METASPAM,HOMEPOS,CULTPOSS,HEDRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,GCSELFEFF,GCAWARE,ATTIMM,INTCULT,PERSPECT,COGFLEX,RESPECT,AWACOM,GLOBMIND,DISCRIM,BELONG,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,Is_MISCED_5B,Is_FISCED_5B,Is_HISCED_5B
60805301.0,0.0,15.5,ISCED level 2,16.0,62.39,Native,Did not repeat a  grade,0.2852,1.5,-0.18,-0.5,-0.6022,0.1685,0.1806,-0.2225,1.314,0.373,-0.3253,0.2169,-0.0999,0.836,0.1744,3.5993,1.2374,-1.8876,-1.272,1.0844,-0.5707,0.5693,1.3423,-0.569,0.1038,-0.8579,0.9703,0.5443,2.3015,0.9616,-1.112,-0.3091,-1.3312,0.9289,1.5263,0.3817,-0.2021,-0.4794,13.0,1,431.8671000000001,469.2845,486.39609999999993,462.5159,0,0,0
60801117.0,-1.0,15.42,ISCED level 2,16.0,17.0,Native,Repeated a  grade,-1.091,0.45,-0.95,-0.04,-1.8106,0.0436,-0.1987,-1.3358,-0.3882,0.0054,1.5844,0.5029,1.1847,0.3721,0.1744,-0.4194,-1.0985,1.2421,1.6524,-0.6583,0.1956,-0.1015,0.4637,-0.3121,0.1869,-0.4684,-0.4347,-0.6225,-0.3497,-0.2014,-0.2436,-0.4441,-0.9817,-0.4401,-0.8993,-0.2208,0.5881,-0.445,15.0,0,332.60450000000003,326.4868,271.6668,310.2527,0,1,0
60803075.0,0.0,15.58,ISCED level 2,12.0,39.04,Native,Did not repeat a  grade,-0.6514,0.45,0.59,-0.96,-0.2488,-0.7764,-0.1357,0.6682,0.4394,-0.0424,-0.3253,-0.6576,0.0236,0.1915,0.1744,-0.2119,-0.825,0.409,0.8232,-0.6583,0.1956,-0.1015,-0.4342,0.8126,0.5012,-0.0614,-0.4347,-0.1574,-0.3413,0.2289,-0.2845,-0.4742,-0.0156,-0.164,-0.534,0.291,0.5881,-0.4509,18.0,0,426.479,417.1878,407.0381,416.9016333333333,0,0,0
60800919.0,0.0,15.5,ISCED level 2,16.0,22.77,Native,Did not repeat a  grade,-1.0527,1.5,0.59,1.33,-1.98,0.1685,-1.0193,-1.1137,0.298,0.8667,0.9044,-1.3939,-0.8885,0.1915,0.5665,0.4198,-1.4704,-1.0064,-0.2888,0.0281,0.7871,-0.7233,0.8794,0.9269,-0.5928,-1.2987,-2.5252,-1.0817,-0.9846,0.2503,-0.1705,0.5723,0.0038,-0.9517,-0.7635,-0.4563,1.4951,-0.5915,32.0,0,274.86390000000006,281.13879999999995,312.0174,289.34003333333334,0,0,0
60805946.0,1.0,15.75,ISCED level 2,12.0,32.2,Native,Did not repeat a  grade,-1.6855,0.45,-1.72,-0.5,-2.3844,-0.815,-1.3835,0.627,1.314,1.8202,1.5844,-1.5824,1.4931,-0.1716,1.8245,-0.1354,1.2374,-0.0362,1.1904,0.0083,0.7871,1.1448,1.8905,0.2621,-0.5928,1.217,0.5761,1.0338,2.3015,0.9616,1.6052,1.9097,2.1449,0.9289,0.9199,1.147,0.5881,0.3581,60.0,0,429.0918,477.5708000000001,459.77650000000006,455.4797,0,0,0
60802961.0,0.0,15.42,ISCED level 2,9.0,24.53,Native,Did not repeat a  grade,-2.6007,0.8,0.21,-1.41,-3.0652,-0.3896,-1.5094,-0.5561,-0.5575,-0.254,-0.3253,-2.4468,0.0205,-0.5786,0.6797,0.7482,0.8214,0.795,1.6524,0.443,0.7871,0.6291,0.8207,0.9269,0.7301,0.7251,0.2342,-0.4096,-0.872,-0.2014,0.068,0.1686,-0.3889,-0.4401,-0.1577,0.291,0.5881,-0.1939,41.0,1,332.9407,362.404,326.9125,340.7524,0,0,0
60804674.0,1.0,15.92,ISCED level 2,12.0,32.2,Native,Did not repeat a  grade,-1.576,-1.29,-1.72,-1.41,-2.1257,0.0436,-2.4403,0.6682,1.314,1.8202,-1.256,-0.6576,2.0871,-0.5786,1.8245,0.9831,0.1222,-0.0697,0.2705,-0.6583,0.1956,-0.1015,-0.687,1.7411,1.2386,-0.0614,1.8524,0.1904,2.3015,-0.2014,0.8888,0.1686,0.2165,0.9289,-0.1577,2.6335,0.5881,0.472,13.0,0,429.7155,432.1851,410.938,424.27953333333335,0,0,0
60807375.0,1.0,15.75,ISCED level 2,16.0,24.53,Native,Did not repeat a  grade,-0.8886,-0.25,-1.72,-0.5,-1.6713,0.5479,-0.9726,-0.9097,1.314,1.8202,0.1707,0.2169,2.0871,-0.5786,0.1744,0.4779,-0.4089,1.2421,1.0453,-0.6583,0.1956,-0.1015,0.4637,0.2621,1.2386,-0.0614,0.5761,-0.1424,0.581,-0.2014,0.2865,0.5723,-0.2807,0.1278,-0.1577,0.291,0.5881,-0.5058,27.0,1,321.3665,306.8379,265.8252,298.00986666666665,0,0,0
60805403.0,0.0,15.67,ISCED level 2,16.0,26.62,Native,Did not repeat a  grade,-0.6738,0.1,-0.95,-1.41,-1.2579,0.8337,-0.5492,-1.1062,1.314,1.8202,1.3195,1.0346,0.4105,0.937,1.8245,1.3051,1.8839,0.409,-0.8863,1.0844,1.1811,0.9982,-0.2006,1.7411,0.7301,0.3858,0.8347,-0.3169,1.1319,1.4992,1.6052,0.7624,0.2589,0.9289,2.0513,0.9798,-1.1549,0.6678,76.0,0,396.8315,409.4922,373.4648,393.2628333333333,0,0,0
60800101.0,1.0,16.0,ISCED level 2,14.5,30.9,Native,Did not repeat a  grade,-1.2044,-0.6,0.59,-0.96,-2.136,-0.7764,-1.8925,0.5156,-0.0037,1.0067,0.5121,1.0346,0.2751,-0.5786,0.9684,-0.3458,-0.4089,0.409,2.0692,1.0844,0.1956,0.5693,1.0671,1.1963,1.2386,0.7761,0.5761,-0.1424,-0.2398,0.561,0.1712,0.6686,-0.0237,-1.1919,2.0513,-0.4563,0.5881,-0.9176,24.0,0,404.09710000000007,345.9144,340.14309999999995,363.3848666666666,1,0,1
60807396.0,0.0,15.5,ISCED level 2,12.0,33.83,Native,Did not repeat a  grade,-1.963,-0.94,-0.57,-1.41,-3.1135,-0.3896,-2.4403,-1.0918,0.481,-0.1643,0.2012,-0.6576,0.2783,-0.5786,-0.2934,-0.2119,-0.4089,-0.0697,1.6524,-0.6583,-0.5707,-0.7233,-0.687,-0.1652,0.0769,-0.7622,0.5761,-0.2302,-1.843,-0.8565,-0.9169,0.0051,-1.304,-0.3893,-0.4741,-0.6003,0.8403,-0.9017,6.0,0,329.2126999999999,379.1355,309.466,339.2714,0,0,0
60802993.0,-1.0,16.0,ISCED level 2,12.0,30.34,Native,Repeated a  grade,-2.01,-0.6,-0.95,-0.5,-3.0675,-0.3896,-1.6815,-0.3697,0.3485,0.6532,-0.3253,1.0346,0.378,-0.1716,0.9684,0.9831,0.1222,-0.0697,-0.4021,1.0844,-0.2661,0.9982,0.052,0.2621,-0.5928,0.3858,-0.094,-0.0116,-0.0549,-0.2014,1.6052,-0.4441,-0.8312,0.1662,0.2607,0.5049,0.5881,0.1554,54.0,1,408.4405,405.2419,390.9902,401.5575333333333,0,0,0
60805625.0,1.0,15.92,ISCED level 2,12.0,17.0,Native,Did not repeat a  grade,-2.0148,0.1,0.21,-0.5,-2.4783,-0.0069,-1.3835,-0.0424,1.314,1.8202,0.7743,-2.4468,0.5102,0.1067,0.6797,1.6041,0.1222,0.795,1.0453,1.0844,0.1956,0.6291,0.8794,0.2621,0.5012,-0.0614,1.8524,-0.4356,0.4345,-0.2014,0.5116,-0.4441,0.0168,0.1662,-0.1577,-0.5797,0.5881,2.7249,62.0,1,379.9684,364.7125,370.4431000000001,371.7080000000001,0,0,0
60801004.0,1.0,15.5,ISCED level 2,12.0,79.74,Native,Did not repeat a  grade,-0.9576,-0.94,-0.18,-1.41,-2.8047,-1.4693,-0.9649,-0.0424,0.3485,0.373,0.0728,1.0346,1.0383,-0.5786,0.1744,-0.0788,-0.4089,0.5082,0.2705,0.0083,-0.5707,-0.6545,-0.4342,0.2621,0.7301,-0.8386,0.4449,-0.5456,-0.6303,-0.2014,-0.611,-0.2842,-1.1661,-0.9556,0.2388,0.291,-0.1731,-0.3184,18.0,1,461.1704,463.0317999999999,436.4772,453.5598,0,0,0
