CNTSTUID,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG
76404533,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76404619,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76405675,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76406369,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76406914,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76407135,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76407169,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76407286,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76407747,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76407748,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76407917,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76407936,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76408425,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76408491,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76408595,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76408612,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76408673,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76408959,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76400112,3,19.5071,2731,0.2183,1,140,1,0.6357,0.3571,0.0071,43,3,0.1423,-0.7828,-0.0384,-2.0409,0.9042
